    -3556.0260003155    94618.7196141138         1         1         2    16536.1616917586    64900.1852845534    65044.5537737537
    -3555.6298956436    94617.1999098358         1         2         3    16606.8823581580    64483.0916387087    64697.7608929889
    -3555.3976647639    94617.3167103715         1         4         5    16587.5370682344    64609.9021477670    64722.8575024189
    -3546.0441283245    94616.0996407619         1         6         7    16469.4328355990    65037.2772723524    65204.1466958384
    -3555.2216623248    94615.0414816128         1         5         1    16437.0671088060    66551.9397267894    67199.3327871324
    -3555.4697414212    94617.9504342610         1         8         3    16398.8189882351    68918.7717767264    69624.7846712967
    -3555.5024327013    94608.1937496693         1         8         7    16384.5318543038    72961.3315426765    73787.2231922120
    -3546.1840422555    94615.4138789744         1        10         9    16560.2168861749    64708.6514412235    64929.7332763886
    -3555.3604291969    94614.3617396725         1         8        10    16517.5344516516    66318.1105066443    66889.5263772529
    -3555.2878065828    94614.3202052142         1         7         4    16533.5005280828    66277.0283156617    66853.6820751880
    -3545.6607062422    94615.8889249883         1         6         9    16562.1956754794    64763.6613701993    64987.1731672785
