    -3583.8724557191    94692.5342545512     1    16447.9511787902    48013.7573255360    48465.9064168188
    -3586.6640290025    94701.2390680198     1    18406.6831739939    43167.4358079917    44240.7347504368
    -3585.1149842895    94704.0567011592     1    19485.7174762557    44491.2429555805    47674.5327595846
    -3576.5737914311    94678.5814891938     1    16990.7779010147    62280.7340318669    62656.4937696867
    -3575.0911413818    94673.2584903063     1    17676.3499035237    54304.1214795545    55129.1689364461
    -3585.3335473335    94703.8834366629     1    19487.9656199327    44475.0757735060    47651.9300301300
    -3576.1676623956    94680.9462892566     1    16522.9798293745    64782.9529687043    64952.3183823670
    -3578.5429729936    94678.2283637818     1    18529.6430504877    48756.8510031403    49229.4368499876
    -3576.3085108576    94680.2631876933     1    16613.0238860707    64462.6313247463    64683.5507800928
    -3579.1987358415    94674.3878531134     1    19202.4273751604    46689.8571912751    47770.2560463765
    -3576.1987358415    94674.3878531134     1    19202.4273751604    46689.8571912751    47770.2560463765
